marginal_distinct_cnt,condition,round,network_size,id
6,treatment,3,2,ego_trt_164
4,treatment,3,3,ego_trt_165
3,treatment,3,4,ego_trt_166
2,treatment,3,5,ego_trt_167
1,treatment,3,6,ego_trt_168
2,treatment,3,7,ego_trt_169
2,treatment,3,8,ego_trt_170
0,treatment,3,9,ego_trt_171
2,treatment,3,10,ego_trt_172
2,treatment,3,11,ego_trt_173
2,treatment,3,12,ego_trt_174
0,treatment,3,13,ego_trt_175
1,treatment,3,14,ego_trt_176
3,treatment,3,15,ego_trt_177
2,treatment,3,16,ego_trt_178
0,treatment,3,17,ego_trt_179
0,treatment,3,18,ego_trt_180
4,treatment,4,1,ego_trt_163
5,treatment,4,2,ego_trt_164
5,treatment,4,3,ego_trt_165
4,treatment,4,4,ego_trt_166
3,treatment,4,5,ego_trt_167
3,treatment,4,6,ego_trt_168
2,treatment,4,7,ego_trt_169
0,treatment,4,8,ego_trt_170
1,treatment,4,9,ego_trt_171
3,treatment,4,10,ego_trt_172
3,treatment,4,11,ego_trt_173
2,treatment,4,12,ego_trt_174
0,treatment,4,13,ego_trt_175
3,treatment,4,14,ego_trt_176
0,treatment,4,15,ego_trt_177
3,treatment,4,16,ego_trt_178
2,treatment,4,17,ego_trt_179
4,treatment,4,18,ego_trt_180
4,treatment,5,1,ego_trt_163
4,treatment,5,2,ego_trt_164
4,treatment,5,3,ego_trt_165
5,treatment,5,4,ego_trt_166
2,treatment,5,5,ego_trt_167
3,treatment,5,6,ego_trt_168
1,treatment,5,7,ego_trt_169
0,treatment,5,8,ego_trt_170
1,treatment,5,9,ego_trt_171
3,treatment,5,10,ego_trt_172
2,treatment,5,11,ego_trt_173
0,treatment,5,12,ego_trt_174
1,treatment,5,13,ego_trt_175
0,treatment,5,14,ego_trt_176
0,treatment,5,15,ego_trt_177
1,treatment,5,16,ego_trt_178
1,treatment,5,17,ego_trt_179
3,treatment,5,18,ego_trt_180
2,control,2,1,ego_ctrl_1
2,control,2,2,ego_ctrl_2
2,control,2,3,ego_ctrl_3
1,control,2,4,ego_ctrl_4
1,control,2,5,ego_ctrl_5
0,control,2,6,ego_ctrl_6
1,control,2,7,ego_ctrl_7
2,control,2,8,ego_ctrl_8
2,control,2,9,ego_ctrl_9
0,control,2,10,ego_ctrl_10
1,control,2,11,ego_ctrl_11
1,control,2,12,ego_ctrl_12
0,control,2,13,ego_ctrl_13
0,control,2,14,ego_ctrl_14
1,control,2,15,ego_ctrl_15
0,control,2,16,ego_ctrl_16
2,control,2,17,ego_ctrl_17
1,control,2,18,ego_ctrl_18
