condition,networksize,gini
treatment,12,0.21666666666666667
treatment,13,0.3076923076923077
treatment,14,0.2857142857142857
treatment,15,0.26666666666666666
treatment,16,0.25
treatment,17,0.19607843137254902
treatment,18,0.21296296296296297
treatment,1,0
treatment,2,0
treatment,3,0.13333333333333333
treatment,4,0.15
treatment,5,0.24
treatment,6,0.3
treatment,7,0.2857142857142857
treatment,8,0.3541666666666667
treatment,9,0.3888888888888889
treatment,10,0.38333333333333336
treatment,11,0.36363636363636365
treatment,12,0.3472222222222222
treatment,13,0.358974359
treatment,14,0.32142857142857145
treatment,15,0.32222222222222224
treatment,16,0.34375
treatment,17,0.30392156862745096
treatment,18,0.3055555555555556
treatment,1,0
treatment,2,0
treatment,3,0.13333333333333333
treatment,4,0.16666666666666666
treatment,5,0.23333333333333334
treatment,6,0.3055555555555556
treatment,7,0.3333333333333333
treatment,8,0.3333333333333333
treatment,9,0.3333333333333333
treatment,10,0.3333333333333333
treatment,11,0.3333333333333333
treatment,12,0.3194444444444444
treatment,13,0.3333333333333333
treatment,14,0.30952380952380953
treatment,15,0.3111111111111111
treatment,16,0.3229166666666667
treatment,17,0.28431372549019607
treatment,18,0.2777777777777778
treatment,1,0
treatment,2,0.16666666666666666
treatment,3,0.25
treatment,4,0.3
treatment,5,0.36
treatment,6,0.36666666666666664
treatment,7,0.40476190476190477
treatment,8,0.375
treatment,9,0.3148148148148148
treatment,10,0.35
treatment,11,0.36363636363636365
treatment,12,0.3611111111111111
treatment,13,0.38461538461538464
treatment,14,0.3333333333333333
treatment,15,0.3
treatment,16,0.3229166666666667
treatment,17,0.30392156862745096
treatment,18,0.28703703703703703
treatment,1,0
treatment,2,0.16666666666666666
treatment,3,0
treatment,4,0.1875
treatment,5,0.28
treatment,6,0.26666666666666666
treatment,7,0.3333333333333333
treatment,8,0.3125
treatment,9,0.25925925925925924
treatment,10,0.3
treatment,11,0.3181818181818182
treatment,12,0.3055555555555556
treatment,13,0.3333333333333333
treatment,14,0.32142857142857145
treatment,15,0.3333333333333333
treatment,16,0.3541666666666667
treatment,17,0.3137254901960784
treatment,18,0.3333333333333333
treatment,1,0
treatment,2,0.16666666666666666
treatment,3,0.16666666666666666
treatment,4,0.25
treatment,5,0.28
treatment,6,0.3333333333333333
treatment,7,0.38095238095238093
treatment,8,0.3958333333333333
treatment,9,0.37037037037037035
